                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3368,                 4.5586,                 1.1684,                      0,                      0,                      0,                      0,                      0,                 36.007,                      0,              0.0033253,              0.0033253,              0.0033253
                      2,                 1.3727,                 1.9178,                 1.1379,                      0,                      0,                      0,                      0,                      0,                 32.799,                      0,              0.0065927,              0.0065927,              0.0065927
